3,Abdulkader N;Brun JL,"['induct', 'detect', 'isol', 'temperaturesensit', 'appli', 'seri', 'techniqu', 'intend', 'induc', 'detect']"
5,Abi-Rached M;Brun JL,"['etud', 'ultrastructural', 'de', 'relat', 'entr', 'ovocyt', 'et', 'diakinesi', 'develop', 'oocyt', 'c']"
6,Abi-Rached M;Brun JL,"['ultrastructur', 'chang', 'nuclear', 'perinuclear', 'electron', 'microscop', 'studi', 'around', 'nucleu', 'c']"
7,Abi-Rached M;Brun JL,"['chang', 'synaptonem', 'complex', 'oocyt', 'nucleu', 'oogenesi', 'hermaphrodit', 'nematod', 'c', 'elegan']"
8,Albertson DG;Sulston JE;White JG,"['cell', 'cycl', 'dna', 'replic', 'mutant', 'block', 'postembryon', 'develop', 'nematod']"
9,Albertson DG;Thomson JN,"['pharynx', 'c', 'elegan', 'anatomi', 'pharynx', 'caenorhabd', 'elegan']"
10,Ali M;Wahab A;El-Kifel AH,"['nematod', 'associ', 'coleoptera', 'speci', 'egypt', 'part', 'anatomi', 'pharynx', 'caenorhabd', 'elegan']"
11,Anderson GL,"['respons', 'dauerlarva', 'c', 'elegan', 'nematoda', 'larval', 'form', 'freeliv', 'nematod', 'caenorhabd']"
12,Anderson GL;Dusenbery DB,"['critic', 'oxygen', 'tension', 'c', 'elegan', 'regul', 'abl', 'maintain', 'stabl', 'oxygen']"
14,Andrew PA;Nicholas WL,"['effect', 'bacteria', 'dispers', 'c', 'elegan', 'dispers', 'behavior', 'caenorhabd', 'elegan']"
15,Ward S,"['genet', 'studi', 'chemotaxi', 'mutant', 'nematod', 'precis', 'neuron', 'develop', 'program']"
16,Babu P,"['biochem', 'genet', 'c', 'elegan', 'new', 'method', 'isol', 'mutant', 'freeliv']"
21,Beguet B,"['persist', 'process', 'regul', 'level', 'start', 'laboratori', 'strain', 'c', 'elegan']"
22,Beguet B,"['un', 'exempl', 'de', 'deriv', 'meiotiqu', 'chez', 'un', 'nematod', 'libr', 'french']"
23,Beguet B,"['cryoconserv', 'de', 'mutant', 'femellesteril', 'dun', 'french']"
24,Beguet B,"['genetiqu', 'de', 'la', 'physiologi', 'ovocytair', 'chez', 'un', 'nematod', 'freeliv', 'hermaprodit', 'autogam', 'nematod', 'c']"
25,Beguet B,"['etud', 'genetiqu', 'dun', 'mutant', 'meiotiqu', 'domin', 'chez', 'c', 'caenorhabd', 'elegan', 'wildtyp', 'hermaphrodit', 'produc']"
26,Beguet B;Brun JL,"['influenc', 'parent', 'age', 'reproduct', 'f1', 'freeliv', 'hermaphrodit', 'autogam', 'nematod', 'c']"
27,Beguet B;Gibert M-A,"['obtain', 'selffertil', 'hermaphrodit', 'mutant', 'ethylmethanesulfon', 'act', 'larva', 'wild', 'type']"
28,Behme R;Pasternak J,"['dna', 'base', 'composit', 'free', 'live', 'nematod', 'speci', 'mean', 'base', 'composit', 'gc', 'dna', 'sampl', 'five']"
